Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
wallpaper1,http://10.176.217.139/atv/images/cmwtestdevice/cmwtestdevice-wallpaper1.png,00:48:52,01:00:00,1/1/2018 00:00,12/31/30 23:59,no
wallpaper2,http://10.176.217.139/atv/images/cmwtestdevice/cmwtestdevice-wallpaper2.png,00:48:52,01:00:00,1/1/2018 00:00,12/31/30 23:59,no
